gnb_id,name,sector_id,x_m,y_m,z_m,height_m,distance_from_track_m,antenna_type,tx_power_dBm,frequency_GHz,band,azimuth_deg,mechanical_downtilt_deg,electrical_downtilt_deg,total_downtilt_deg,hpbw_horizontal_deg,hpbw_vertical_deg,antenna_gain_dBi,bandwidth_MHz,direction,a3_offset_db,hysteresis_db,ttt_ms,a2_threshold_dbm,a2_ttt_ms,a5_threshold1_dbm,a5_threshold2_dbm,a5_ttt_ms,b1_threshold_dbm,b1_ttt_ms,b1_offset_db,b2_threshold1_dbm,b2_threshold2_dbm,b2_ttt_ms,b2_offset_db,n310,n311,t310_ms,t304_ms,t311_ms,ho_optimize_target,pci,pci_v2,is_hsr_cell,a3_report_interval_ms
6,ru_6_1,1,4134.705645124903,4327.4975980171275,5.0,3.0,,2T2R LTE Sector Antenna,39.68,0.9,n8,73.22,0.44,3.03,11.02,59.07,16.1,5.72,20,,3.0,0.0,100,,,,,,,,,,,,,,,,,,,528,,0,240
6,ru_6_2,2,4134.705645124903,4327.4975980171275,5.0,3.0,,2T2R LTE Sector Antenna,39.68,0.9,n8,201.8,15.25,-4.27,20.78,63.96,1.16,9.32,20,,3.0,0.0,100,,,,,,,,,,,,,,,,,,,528,,0,240
6,ru_6_3,3,4134.705645124903,4327.4975980171275,5.0,3.0,,2T2R LTE Sector Antenna,39.68,0.9,n8,297.54,4.12,10.75,7.37,72.36,9.42,12.47,20,,3.0,0.0,100,,,,,,,,,,,,,,,,,,,528,,0,240
7,ru_7_1,1,4096.934255779957,4314.97693567567,5.0,3.0,,2T2R LTE Sector Antenna,39.11,1.8,n3,63.04,-1.21,15.94,6.68,73.99,1.0,11.01,20,,3.0,0.0,100,,,,,,,,,,,,,,,,,,,516,,0,240
7,ru_7_2,2,4096.934255779957,4314.97693567567,5.0,3.0,,2T2R LTE Sector Antenna,39.11,1.8,n3,201.13,12.66,4.93,16.21,64.8,1.0,22.48,20,,3.0,0.0,100,,,,,,,,,,,,,,,,,,,516,,0,240
7,ru_7_3,3,4096.934255779957,4314.97693567567,5.0,3.0,,2T2R LTE Sector Antenna,39.11,1.8,n3,291.04,2.88,-3.48,8.29,59.79,12.95,19.58,20,,3.0,0.0,100,,,,,,,,,,,,,,,,,,,516,,0,240
8,ru_8_1,1,4326.564874520173,4270.156830008151,5.0,3.0,,2T2R LTE Sector Antenna,40.87,1.8,n3,8.32,7.4,-4.14,-7.07,65.95,14.08,6.18,10,,3.0,0.0,100,,,,,,,,,,,,,,,,,,,406,,0,240
8,ru_8_2,2,4326.564874520173,4270.156830008151,5.0,3.0,,2T2R LTE Sector Antenna,40.87,1.8,n3,177.05,2.85,-1.11,-0.51,61.82,16.34,4.82,10,,3.0,0.0,100,,,,,,,,,,,,,,,,,,,406,,0,240
9,ru_9_1,1,4311.434698475218,4211.708759008782,5.0,3.0,,2T2R LTE Sector Antenna,41.44,0.9,n8,165.66,13.7,15.26,13.87,71.66,16.31,14.88,20,,3.0,0.0,100,,,,,,,,,,,,,,,,,,,674,,0,240
9,ru_9_2,2,4311.434698475218,4211.708759008782,5.0,3.0,,2T2R LTE Sector Antenna,41.44,0.9,n8,249.01,1.63,1.27,20.29,74.1,3.43,19.82,20,,3.0,0.0,100,,,,,,,,,,,,,,,,,,,674,,0,240
10,ru_10_1,1,4313.667423391119,4276.157531282401,5.0,3.0,,2T2R LTE Sector Antenna,40.87,1.8,n3,162.08,15.39,9.21,15.22,55.3,7.54,6.16,20,,3.0,0.0,100,,,,,,,,,,,,,,,,,,,890,,0,240
10,ru_10_2,2,4313.667423391119,4276.157531282401,5.0,3.0,,2T2R LTE Sector Antenna,40.87,1.8,n3,257.68,-3.64,11.14,15.75,55.77,16.82,19.41,20,,3.0,0.0,100,,,,,,,,,,,,,,,,,,,890,,0,240
11,ru_11_1,1,3619.558617299809,-4036.661583074574,6.0,4.0,,2T2R LTE Sector Antenna,40.52,0.9,n8,179.59,27.54,37.41,64.92,69.17,11.06,11.22,20,,3.0,0.0,100,,,,,,,,,,,,,,,,,,,207,,0,240
11,ru_11_2,2,3619.558617299809,-4036.661583074574,6.0,4.0,,2T2R LTE Sector Antenna,40.52,0.9,n8,336.46,23.15,33.48,58.42,74.36,1.5,18.81,20,,3.0,0.0,100,,,,,,,,,,,,,,,,,,,207,,0,240
12,ru_12_1,1,3608.9277157092824,-4030.93048959102,6.0,4.0,,2T2R LTE Sector Antenna,40.87,1.8,n3,21.48,13.75,27.49,40.24,60.32,1.0,8.38,20,,3.0,0.0,100,,,,,,,,,,,,,,,,,,,897,,0,240
12,ru_12_2,2,3608.9277157092824,-4030.93048959102,6.0,4.0,,2T2R LTE Sector Antenna,40.87,1.8,n3,228.81,-5.61,28.84,38.49,67.53,6.67,12.42,20,,3.0,0.0,100,,,,,,,,,,,,,,,,,,,897,,0,240
13,ru_13_1,1,3227.8933386448075,1318.5218809819055,27.0,25.0,,2T2R LTE Sector Antenna,39.11,1.8,n3,26.61,-0.23,3.51,-0.1,55.33,4.74,18.97,20,,3.0,0.0,100,,,,,,,,,,,,,,,,,,,210,,0,240
13,ru_13_2,2,3227.8933386448075,1318.5218809819055,27.0,25.0,,2T2R LTE Sector Antenna,39.11,1.8,n3,149.3,1.77,5.77,12.5,69.87,14.29,6.15,20,,3.0,0.0,100,,,,,,,,,,,,,,,,,,,210,,0,240
13,ru_13_3,3,3227.8933386448075,1318.5218809819055,27.0,25.0,,2T2R LTE Sector Antenna,39.11,1.8,n3,243.43,-4.49,4.64,15.86,64.98,8.97,23.42,20,,3.0,0.0,100,,,,,,,,,,,,,,,,,,,210,,0,240
14,ru_14_1,1,4765.23337138296,1640.6564273568015,27.0,25.0,,2T2R LTE Sector Antenna,39.11,1.8,n3,98.49,11.36,1.05,20.87,74.58,7.91,5.73,20,,2.0,0.0,25,,,,,,,,,,,,,,,,,,,360,,1,120
14,ru_14_2,2,4765.23337138296,1640.6564273568015,27.0,25.0,,2T2R LTE Sector Antenna,39.11,1.8,n3,218.55,8.42,11.46,7.83,73.81,2.32,5.84,20,,2.0,0.0,25,,,,,,,,,,,,,,,,,,,360,,1,120
14,ru_14_3,3,4765.23337138296,1640.6564273568015,27.0,25.0,,2T2R LTE Sector Antenna,39.11,1.8,n3,353.27,3.76,1.29,-0.57,57.4,8.59,12.61,20,,2.0,0.0,25,,,,,,,,,,,,,,,,,,,360,,1,120
15,ru_15_1,1,3858.3608645122504,3477.484641062455,27.0,25.0,,2T2R LTE Sector Antenna,39.11,1.8,n3,50.91,4.13,7.5,12.36,59.07,7.33,23.51,20,,3.0,0.0,100,,,,,,,,,,,,,,,,,,,502,,0,240
15,ru_15_2,2,3858.3608645122504,3477.484641062455,27.0,25.0,,2T2R LTE Sector Antenna,39.11,1.8,n3,180.72,-0.12,2.22,3.98,67.39,5.93,12.57,20,,3.0,0.0,100,,,,,,,,,,,,,,,,,,,502,,0,240
15,ru_15_3,3,3858.3608645122504,3477.484641062455,27.0,25.0,,2T2R LTE Sector Antenna,39.11,1.8,n3,322.7,-0.7,5.95,14.47,57.9,4.39,8.21,20,,3.0,0.0,100,,,,,,,,,,,,,,,,,,,502,,0,240
16,ru_16_1,1,4327.8712556993205,2079.1531842593986,27.0,25.0,,2T2R LTE Sector Antenna,40.87,1.8,n3,192.2,1.13,39.92,37.95,67.09,8.24,9.69,20,,3.0,0.0,100,,,,,,,,,,,,,,,,,,,786,,0,240
16,ru_16_2,2,4327.8712556993205,2079.1531842593986,27.0,25.0,,2T2R LTE Sector Antenna,40.87,1.8,n3,189.05,5.27,20.28,34.87,70.4,6.59,19.15,20,,3.0,0.0,100,,,,,,,,,,,,,,,,,,,786,,0,240
17,ru_17_1,1,1818.3442150545563,3476.4387803500213,5.0,3.0,,2T2R LTE Sector Antenna,39.11,1.8,n3,90.22,11.07,32.79,37.87,65.62,1.0,7.22,20,,3.0,0.0,100,,,,,,,,,,,,,,,,,,,890,,0,240
17,ru_17_2,2,1818.3442150545563,3476.4387803500213,5.0,3.0,,2T2R LTE Sector Antenna,39.11,1.8,n3,172.03,-1.14,23.77,38.98,63.84,1.0,22.24,20,,3.0,0.0,100,,,,,,,,,,,,,,,,,,,890,,0,240
17,ru_17_3,3,1818.3442150545563,3476.4387803500213,5.0,3.0,,2T2R LTE Sector Antenna,39.11,1.8,n3,278.87,11.26,39.1,33.58,74.7,1.0,21.7,20,,3.0,0.0,100,,,,,,,,,,,,,,,,,,,890,,0,240
18,ru_18_1,1,1208.9192438437167,-1990.6904534003186,37.0,35.0,,2T2R LTE Sector Antenna,38.76,0.9,n8,163.49,6.23,12.41,4.16,72.38,5.82,20.31,20,,3.0,0.0,100,,,,,,,,,,,,,,,,,,,897,,0,240
18,ru_18_2,2,1208.9192438437167,-1990.6904534003186,37.0,35.0,,2T2R LTE Sector Antenna,38.76,0.9,n8,254.47,-3.81,11.64,13.76,69.77,16.1,10.46,20,,3.0,0.0,100,,,,,,,,,,,,,,,,,,,897,,0,240
18,ru_18_3,3,1208.9192438437167,-1990.6904534003186,37.0,35.0,,2T2R LTE Sector Antenna,38.76,0.9,n8,315.54,-6.37,8.75,5.17,67.97,15.6,11.67,20,,3.0,0.0,100,,,,,,,,,,,,,,,,,,,897,,0,240
19,ru_19_1,1,1224.7853214855613,-1991.3286651322564,37.0,35.0,,2T2R LTE Sector Antenna,39.65,2.1,n1,166.1,-6.51,2.88,12.98,58.32,5.15,19.22,20,,3.0,0.0,100,,,,,,,,,,,,,,,,,,,492,,0,240
19,ru_19_2,2,1224.7853214855613,-1991.3286651322564,37.0,35.0,,2T2R LTE Sector Antenna,39.65,2.1,n1,252.72,12.28,5.12,5.76,59.1,16.41,18.85,20,,3.0,0.0,100,,,,,,,,,,,,,,,,,,,492,,0,240
19,ru_19_3,3,1224.7853214855613,-1991.3286651322564,37.0,35.0,,2T2R LTE Sector Antenna,39.65,2.1,n1,313.91,-2.09,11.44,14.09,67.89,1.52,11.89,20,,3.0,0.0,100,,,,,,,,,,,,,,,,,,,492,,0,240
20,ru_20_1,1,1211.7720365698328,-1990.0352461710274,37.0,35.0,,2T2R LTE Sector Antenna,40.87,1.8,n3,166.37,-4.68,29.42,31.9,69.77,4.69,22.48,20,,3.0,0.0,100,,,,,,,,,,,,,,,,,,,403,,0,240
20,ru_20_2,2,1211.7720365698328,-1990.0352461710274,37.0,35.0,,2T2R LTE Sector Antenna,40.87,1.8,n3,342.42,6.18,38.8,35.0,29.53,14.97,28.47,20,,3.0,0.0,100,,,,,,,,,,,,,,,,,,,403,,0,240
21,ru_21_1,1,-4857.837518009303,-5502.711604844972,8.0,6.0,,2T2R LTE Sector Antenna,43.88,1.8,n3,356.01,-2.49,36.28,34.68,360.85,7.12,16.85,20,,3.0,0.0,100,,,,,,,,,,,,,,,,,,,403,,0,240
22,ru_22_1,1,4632.129575601281,2521.5026152899036,8.0,6.0,,2T2R LTE Sector Antenna,39.11,1.8,n3,68.21,16.88,29.76,38.58,61.17,2.02,21.93,20,,3.0,0.0,100,,,,,,,,,,,,,,,,,,,877,,0,240
22,ru_22_2,2,4632.129575601281,2521.5026152899036,8.0,6.0,,2T2R LTE Sector Antenna,39.11,1.8,n3,178.26,11.28,30.54,43.89,72.46,9.36,18.17,20,,3.0,0.0,100,,,,,,,,,,,,,,,,,,,877,,0,240
22,ru_22_3,3,4632.129575601281,2521.5026152899036,8.0,6.0,,2T2R LTE Sector Antenna,39.11,1.8,n3,286.35,15.74,30.4,33.37,64.45,1.0,13.14,20,,3.0,0.0,100,,,,,,,,,,,,,,,,,,,877,,0,240
23,ru_23_1,1,5544.7132515415005,-844.8299776747407,27.0,25.0,,2T2R LTE Sector Antenna,44.03,1.8,n3,50.29,7.02,-4.62,-4.75,60.65,8.39,17.19,45,,3.0,0.0,100,,,,,,,,,,,,,,,,,,,770,,0,240
23,ru_23_2,2,5544.7132515415005,-844.8299776747407,27.0,25.0,,2T2R LTE Sector Antenna,44.03,1.8,n3,150.4,8.65,-3.0,-2.89,71.48,4.15,6.84,45,,3.0,0.0,100,,,,,,,,,,,,,,,,,,,770,,0,240
23,ru_23_3,3,5544.7132515415005,-844.8299776747407,27.0,25.0,,2T2R LTE Sector Antenna,44.03,1.8,n3,264.39,3.22,-1.45,2.54,63.16,2.2,21.81,45,,3.0,0.0,100,,,,,,,,,,,,,,,,,,,770,,0,240
24,ru_24_1,1,5204.889841701781,-563.070711554589,18.0,16.0,,2T2R LTE Sector Antenna,40.87,1.8,n3,158.24,3.49,30.66,39.03,69.98,1.0,17.87,20,,3.0,0.0,100,,,,,,,,,,,,,,,,,,,203,,0,240
24,ru_24_2,2,5204.889841701781,-563.070711554589,18.0,16.0,,2T2R LTE Sector Antenna,40.87,1.8,n3,316.43,10.63,37.52,28.07,59.87,8.02,9.01,20,,3.0,0.0,100,,,,,,,,,,,,,,,,,,,203,,0,240
25,ru_25_1,1,4140.515405297134,-1205.669386063533,27.0,25.0,,2T2R LTE Sector Antenna,41.73,1.8,n3,43.08,23.65,29.69,58.4,66.8,11.71,5.75,30,,3.0,0.0,100,,,,,,,,,,,,,,,,,,,502,,0,240
25,ru_25_2,2,4140.515405297134,-1205.669386063533,27.0,25.0,,2T2R LTE Sector Antenna,41.73,1.8,n3,128.7,21.32,31.17,62.6,62.54,12.11,7.28,30,,3.0,0.0,100,,,,,,,,,,,,,,,,,,,502,,0,240
26,ru_26_1,1,4134.390581964791,-1202.3442636614354,27.0,25.0,,2T2R LTE Sector Antenna,41.44,0.9,n8,37.19,38.22,34.14,54.14,58.84,1.21,23.01,20,,3.0,0.0,100,,,,,,,,,,,,,,,,,,,207,,0,240
26,ru_26_2,2,4134.390581964791,-1202.3442636614354,27.0,25.0,,2T2R LTE Sector Antenna,41.44,0.9,n8,129.43,27.67,35.99,62.89,68.36,3.53,19.92,20,,3.0,0.0,100,,,,,,,,,,,,,,,,,,,207,,0,240
27,ru_27_1,1,-774.5794940268361,-3844.487971462666,8.0,6.0,,2T2R LTE Sector Antenna,39.11,1.8,n3,82.93,4.18,39.45,36.01,70.01,1.6,25.34,20,,3.0,0.0,100,,,,,,,,,,,,,,,,,,,606,,0,240
27,ru_27_2,2,-774.5794940268361,-3844.487971462666,8.0,6.0,,2T2R LTE Sector Antenna,39.11,1.8,n3,182.57,0.9,34.78,27.59,67.0,11.03,14.75,20,,3.0,0.0,100,,,,,,,,,,,,,,,,,,,606,,0,240
27,ru_27_3,3,-774.5794940268361,-3844.487971462666,8.0,6.0,,2T2R LTE Sector Antenna,39.11,1.8,n3,240.02,7.88,31.98,40.85,64.28,16.85,12.81,20,,3.0,0.0,100,,,,,,,,,,,,,,,,,,,606,,0,240
28,ru_28_1,1,4235.371842733796,3572.744405312286,5.0,3.0,,2T2R LTE Sector Antenna,44.45,0.9,n8,272.61,10.54,34.34,44.01,69.81,10.21,7.99,20,,3.0,0.0,100,,,,,,,,,,,,,,,,,,,786,,0,240
29,ru_29_1,1,-3309.760680339623,1218.643456325165,17.0,15.0,,2T2R LTE Sector Antenna,39.11,1.8,n3,36.44,-3.33,-3.56,15.6,57.23,11.25,10.88,20,,3.0,0.0,100,,,,,,,,,,,,,,,,,,,203,,0,240
29,ru_29_2,2,-3309.760680339623,1218.643456325165,17.0,15.0,,2T2R LTE Sector Antenna,39.11,1.8,n3,157.88,8.45,8.78,1.54,55.58,1.0,4.25,20,,3.0,0.0,100,,,,,,,,,,,,,,,,,,,203,,0,240
29,ru_29_3,3,-3309.760680339623,1218.643456325165,17.0,15.0,,2T2R LTE Sector Antenna,39.11,1.8,n3,261.46,-0.65,-1.62,3.5,59.33,5.6,15.54,20,,3.0,0.0,100,,,,,,,,,,,,,,,,,,,203,,0,240
30,ru_30_1,1,4926.749644193079,1839.9493273904673,18.0,16.0,,2T2R LTE Sector Antenna,40.87,1.8,n3,22.64,1.39,37.61,30.87,69.7,4.99,13.57,20,,3.0,0.0,100,,,,,,,,,,,,,,,,,,,722,,0,240
30,ru_30_2,2,4926.749644193079,1839.9493273904673,18.0,16.0,,2T2R LTE Sector Antenna,40.87,1.8,n3,231.55,-0.34,37.44,36.29,65.88,12.05,21.82,20,,3.0,0.0,100,,,,,,,,,,,,,,,,,,,722,,0,240
31,ru_31_1,1,5937.580388406462,2009.3045826951065,4.0,2.0,,2T2R LTE Sector Antenna,39.11,1.8,n3,358.3,8.92,2.57,-7.54,61.14,1.0,11.71,20,,3.0,0.0,100,,,,,,,,,,,,,,,,,,,786,,0,240
31,ru_31_2,2,5937.580388406462,2009.3045826951065,4.0,2.0,,2T2R LTE Sector Antenna,39.11,1.8,n3,126.34,0.35,8.76,-2.96,68.61,8.52,13.65,20,,3.0,0.0,100,,,,,,,,,,,,,,,,,,,786,,0,240
31,ru_31_3,3,5937.580388406462,2009.3045826951065,4.0,2.0,,2T2R LTE Sector Antenna,39.11,1.8,n3,231.17,8.51,-8.98,5.03,62.0,6.87,9.29,20,,3.0,0.0,100,,,,,,,,,,,,,,,,,,,786,,0,240
32,ru_32_1,1,5942.83828853661,2008.2165848306222,4.0,2.0,,2T2R LTE Sector Antenna,38.76,0.9,n8,358.12,10.82,-8.48,-3.47,61.94,11.01,17.98,20,,3.0,0.0,100,,,,,,,,,,,,,,,,,,,167,,0,240
32,ru_32_2,2,5942.83828853661,2008.2165848306222,4.0,2.0,,2T2R LTE Sector Antenna,38.76,0.9,n8,118.02,3.5,-0.08,-3.59,70.58,11.38,10.15,20,,3.0,0.0,100,,,,,,,,,,,,,,,,,,,167,,0,240
32,ru_32_3,3,5942.83828853661,2008.2165848306222,4.0,2.0,,2T2R LTE Sector Antenna,38.76,0.9,n8,237.96,8.32,-6.03,11.94,74.54,1.0,12.59,20,,3.0,0.0,100,,,,,,,,,,,,,,,,,,,167,,0,240
33,ru_33_1,1,1955.8787358029758,-3123.5029832627247,32.0,30.0,,2T2R LTE Sector Antenna,40.87,1.8,n3,90.53,9.74,20.45,34.16,74.79,5.41,23.89,20,,2.0,0.0,25,,,,,,,,,,,,,,,,,,,604,,1,120
33,ru_33_2,2,1955.8787358029758,-3123.5029832627247,32.0,30.0,,2T2R LTE Sector Antenna,40.87,1.8,n3,170.71,-3.43,39.19,35.79,60.6,13.02,22.72,20,,2.0,0.0,25,,,,,,,,,,,,,,,,,,,604,,1,120
34,ru_34_1,1,1961.9214545564291,-3125.3131186425476,32.0,30.0,,2T2R LTE Sector Antenna,40.52,0.9,n8,104.08,2.03,2.38,-1.22,66.97,4.8,19.84,20,,2.0,0.0,25,,,,,,,,,,,,,,,,,,,930,,1,120
34,ru_34_2,2,1961.9214545564291,-3125.3131186425476,32.0,30.0,,2T2R LTE Sector Antenna,40.52,0.9,n8,325.89,11.03,10.8,2.95,59.48,1.0,15.52,20,,2.0,0.0,25,,,,,,,,,,,,,,,,,,,930,,1,120
35,ru_35_1,1,1961.325696041864,-3106.8222140249254,32.0,30.0,,2T2R LTE Sector Antenna,41.41,2.1,n1,90.34,9.21,-0.29,0.44,58.68,15.93,6.57,20,,2.0,0.0,25,,,,,,,,,,,,,,,,,,,228,,1,120
35,ru_35_2,2,1961.325696041864,-3106.8222140249254,32.0,30.0,,2T2R LTE Sector Antenna,41.41,2.1,n1,167.04,10.94,6.64,2.97,59.5,1.02,5.75,20,,2.0,0.0,25,,,,,,,,,,,,,,,,,,,228,,1,120
36,ru_36_1,1,4690.718459076261,711.9297124341699,4.0,2.0,,2T2R LTE Sector Antenna,39.11,1.8,n3,9.28,5.05,-8.62,-4.32,69.66,7.94,21.27,10,,3.0,0.0,100,,,,,,,,,,,,,,,,,,,277,,0,240
36,ru_36_2,2,4690.718459076261,711.9297124341699,4.0,2.0,,2T2R LTE Sector Antenna,39.11,1.8,n3,124.12,0.59,2.38,-4.74,70.27,1.0,23.56,10,,3.0,0.0,100,,,,,,,,,,,,,,,,,,,277,,0,240
36,ru_36_3,3,4690.718459076261,711.9297124341699,4.0,2.0,,2T2R LTE Sector Antenna,39.11,1.8,n3,233.26,8.74,4.12,8.36,63.82,13.2,16.72,10,,3.0,0.0,100,,,,,,,,,,,,,,,,,,,277,,0,240
37,ru_37_1,1,4628.628128009833,701.6434739211275,4.0,2.0,,2T2R LTE Sector Antenna,40.87,1.8,n3,129.38,6.91,32.34,35.53,61.21,2.56,10.76,20,,3.0,0.0,100,,,,,,,,,,,,,,,,,,,360,,0,240
37,ru_37_2,2,4628.628128009833,701.6434739211275,4.0,2.0,,2T2R LTE Sector Antenna,40.87,1.8,n3,121.57,11.64,29.62,47.9,61.04,1.0,9.62,20,,3.0,0.0,100,,,,,,,,,,,,,,,,,,,360,,0,240
38,ru_38_1,1,4071.401282438249,-2590.4396345001987,18.0,16.0,,2T2R LTE Sector Antenna,39.11,1.8,n3,6.81,2.21,34.77,28.21,61.68,7.83,12.28,20,,3.0,0.0,100,,,,,,,,,,,,,,,,,,,466,,0,240
38,ru_38_2,2,4071.401282438249,-2590.4396345001987,18.0,16.0,,2T2R LTE Sector Antenna,39.11,1.8,n3,184.75,6.02,24.51,34.41,71.25,1.4,25.66,20,,3.0,0.0,100,,,,,,,,,,,,,,,,,,,466,,0,240
38,ru_38_3,3,4071.401282438249,-2590.4396345001987,18.0,16.0,,2T2R LTE Sector Antenna,39.11,1.8,n3,271.36,6.97,33.5,34.04,62.98,6.07,14.8,20,,3.0,0.0,100,,,,,,,,,,,,,,,,,,,466,,0,240
39,ru_39_1,1,-970.6369773229762,491.6320043563638,27.0,25.0,,2T2R LTE Sector Antenna,39.11,1.8,n3,354.88,-3.72,25.74,32.06,59.56,16.18,18.19,20,,2.0,0.0,25,,,,,,,,,,,,,,,,,,,103,,1,120
39,ru_39_2,2,-970.6369773229762,491.6320043563638,27.0,25.0,,2T2R LTE Sector Antenna,39.11,1.8,n3,145.78,-3.97,21.3,35.59,71.83,1.0,22.63,20,,2.0,0.0,25,,,,,,,,,,,,,,,,,,,103,,1,120
39,ru_39_3,3,-970.6369773229762,491.6320043563638,27.0,25.0,,2T2R LTE Sector Antenna,39.11,1.8,n3,226.88,11.71,27.49,34.08,58.15,1.0,22.18,20,,2.0,0.0,25,,,,,,,,,,,,,,,,,,,103,,1,120
40,ru_40_1,1,3021.9946624482122,-1409.3804819055854,27.0,25.0,,2T2R LTE Sector Antenna,38.56,1.8,n3,39.76,17.72,35.05,34.95,73.79,5.92,21.32,20,,3.0,0.0,100,,,,,,,,,,,,,,,,,,,887,,0,240
40,ru_40_2,2,3021.9946624482122,-1409.3804819055854,27.0,25.0,,2T2R LTE Sector Antenna,38.56,1.8,n3,111.85,1.24,23.31,34.8,63.01,1.38,10.32,20,,3.0,0.0,100,,,,,,,,,,,,,,,,,,,887,,0,240
40,ru_40_3,3,3021.9946624482122,-1409.3804819055854,27.0,25.0,,2T2R LTE Sector Antenna,38.56,1.8,n3,263.84,5.32,35.5,42.19,70.82,14.45,9.32,20,,3.0,0.0,100,,,,,,,,,,,,,,,,,,,887,,0,240
41,ru_41_1,1,-4268.782006880862,-261.53166438605837,32.0,30.0,,2T2R LTE Sector Antenna,39.11,1.8,n3,37.41,6.48,27.15,29.33,65.25,1.0,21.85,20,,3.0,0.0,100,,,,,,,,,,,,,,,,,,,740,,0,240
41,ru_41_2,2,-4268.782006880862,-261.53166438605837,32.0,30.0,,2T2R LTE Sector Antenna,39.11,1.8,n3,148.65,-4.14,29.84,36.91,68.97,14.88,9.1,20,,3.0,0.0,100,,,,,,,,,,,,,,,,,,,740,,0,240
41,ru_41_3,3,-4268.782006880862,-261.53166438605837,32.0,30.0,,2T2R LTE Sector Antenna,39.11,1.8,n3,281.66,-5.67,21.39,33.05,68.17,1.0,13.93,20,,3.0,0.0,100,,,,,,,,,,,,,,,,,,,740,,0,240
42,ru_42_1,1,4724.746897074623,-5371.454154295082,18.0,16.0,,2T2R LTE Sector Antenna,40.87,1.8,n3,359.37,11.12,23.35,27.78,66.66,1.66,13.8,20,,3.0,0.0,100,,,,,,,,,,,,,,,,,,,930,,0,240
42,ru_42_2,2,4724.746897074623,-5371.454154295082,18.0,16.0,,2T2R LTE Sector Antenna,40.87,1.8,n3,70.17,-1.36,33.32,38.09,73.66,1.0,24.01,20,,3.0,0.0,100,,,,,,,,,,,,,,,,,,,930,,0,240
43,ru_43_1,1,-1449.629870661792,-4880.958698314554,18.0,16.0,,2T2R LTE Sector Antenna,40.87,1.8,n3,8.19,15.12,38.28,36.79,66.14,1.0,27.39,20,,3.0,0.0,100,,,,,,,,,,,,,,,,,,,210,,0,240
